			[*number_feet!=5]	[*skip_initial_foot]	[*footmin-wordbound-bothnotfw]	[*headedness!=rising]	[*strength.w=>-p]	[*footmin-s-noHX]	[*phrasal_stress.w=>-p]
	they|ARE|so|UN|ac|QUAINT|ed|WITH|man		1						1
	they|ARE|so|UN|ac|QUAINT|ed.with|MAN		1		1				
	they|ARE|so|UN|ac|QUAINT.ED|with|MAN		1					1	
	they|ARE|so|UN|ac.quaint|ED|with|MAN		1				1		
	they|ARE|so|UN.AC|quaint|ED|with|MAN		1				1		
	they.are|SO|un|AC|quaint|ED|with|MAN		1				1		
	they.are|SO|un|AC.QUAINT|ed|WITH|man		1						1
	they.are|SO|un|AC.QUAINT|ed.with|MAN		1		1				
	they.are|SO|un.ac|QUAINT|ed|WITH|man		1						1
	they.are|SO|un.ac|QUAINT.ED|with|MAN		1					1	
Their tameness is shocking to me.	THEIR|tame|NESS|is|SHOCK.ING|to|ME		1			1			1
	their|TAME|ness|IS.SHOCK|ing|TO|me		1		1			1	1
	their|TAME|ness|IS.SHOCK|ing|TO.ME		1		1			2	
	their|TAME|ness|IS.SHOCK|ing.to|ME		1		2			1	
Society, friendship, and love,	so|CI|et.y|FRIEND|ship.and|LOVE	1	1		1				
	so|CI|et|Y|friend|SHIP|and|LOVE		1				1		
	so|CI|et.y|FRIEND|ship|AND|love		1						1
	so|CI|et.y|FRIEND.SHIP|and|LOVE		1					1	
	so.ci|ET|y|FRIEND|ship|AND|love		1						1
	so.ci|ET|y|FRIEND|ship.and|LOVE		1		1				
	so.ci|ET|y|FRIEND.SHIP|and|LOVE		1					1	
	so.ci|ET.Y|friend|SHIP|and|LOVE		1				1		
Divinely bestow'd upon man,	di|VINE|ly|BE.STOW'D|up|ON|man		1						1
	di|VINE|ly|BE.STOW'D|up.on|MAN		1				1		
	di.vine|LY|be|STOW'D|up|ON|man		1						1
	di.vine|LY|be|STOW'D|up.on|MAN		1				1		
	di|VINE|ly|BE.STOW'D|up|ON.MAN		1		1			1	
	di.vine|LY|be|STOW'D|up|ON.MAN		1		1			1	
Oh had I the wings of a dove,	oh|HAD|i.the|WINGS|of.a|DOVE	2	1						1
	oh|HAD|i.the|WINGS.OF|a|DOVE		1		1			1	
How soon would I taste you again!	how|SOON|would.i|TASTE|you.ag|AIN [*Bounded]	2	1		1				
	how|SOON|would.i|TASTE|you|AG.AIN		1						
My sorrows I then might assuage	my|SOR.ROWS|i|THEN|might|AS.SUAGE		1						1
	my|SOR.ROWS|i|THEN.MIGHT|as|SUAGE		1					1	
In the ways of religion and truth,	in|THE|ways|OF|re|LI.GION|and|TRUTH		1						1
	in.the|WAYS|of|RE.LI|gion.and|TRUTH		1		1				1
	IN|the.ways|OF|re|LI.GION|and|TRUTH		1		1	1			
Might learn from the wisdom of age,	MIGHT|learn|FROM|the|WIS|dom|OF|age		1			1			1
	MIGHT|learn|FROM|the|WIS|dom.of|AGE		1		1	1			1
	MIGHT|learn|FROM|the|WIS.DOM|of|AGE		1			1		1	1
	MIGHT|learn|FROM|the|WIS|dom|OF.AGE		1		1	1		1	
	might|LEARN|from|THE|wis|DOM|of|AGE		1				1		3
And be cheer'd by the sallies of youth.	and.be|CHEER'D|by.the|SAL|lies.of|YOUTH [*Bounded]	2	1		1				2
	and.be|CHEER'D|by.the|SAL.LIES|of|YOUTH		1						2
	AND|be.cheer'd|BY|the|SAL.LIES|of|YOUTH		1		1	1			1
	and.be|CHEER'D|by.the|SAL|lies|OF.YOUTH		1		1			1	1
	AND|be.cheer'd|BY|the|SAL|lies|OF.YOUTH		1		2	1		1	
Religion! what treasure untold	re|LI.GION|what|TREA.SURE|un|TOLD		1						
	re.li|GION|what|TREA.SURE|un|TOLD		1						
Resides in that heavenly word!	re|SIDES|in.that|HEAV|en.ly|WORD	2	1						
	re.sides|IN|that|HEAV|en.ly|WORD		1						
	re.sides|IN|that|HEAV.EN|ly|WORD		1						
	re|SIDES|in.that|HEAV.EN|ly|WORD		1						
More precious than silver and gold,	more|PRE|cious|THAN|sil|VER|and|GOLD		1				1		
	more|PRE.CIOUS|than|SIL|ver|AND|gold		1						1
	more|PRE.CIOUS|than|SIL|ver.and|GOLD		1		1				
	more|PRE.CIOUS|than|SIL.VER|and|GOLD		1					1	
