			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
	my|FRIENDS|do|THEY.NOW|and|THEN|send			1		1			1		
	my|FRIENDS.DO|they|NOW|and|THEN.SEND			2					2		
	my|FRIENDS|do|THEY.NOW|and|THEN.SEND			2					2		
A wish or a thought after me?	a|WISH|or.a|THOUGHT|af.ter|ME [*Bounded]	2	1	2		1	1	1			
	a|WISH|or|A|thought|AF|ter|ME					1		2			
	a|WISH|or.a|THOUGHT.AF|ter|ME			2			1	1			
	a|WISH|or.a|THOUGHT.AF|ter.me			3			1			1	
	a|WISH|or|A|thought|AF|ter.me			1		1	1	1		1	
	a|WISH|or.a|THOUGHT|af|TER|me		1	1		1	1	1			1
Oh tell me I yet have a friend,	oh|TELL|me.i|YET|have.a|FRIEND [*Bounded]	2		2		1	1				
	oh|TELL|me|I|yet|HAVE|a|FRIEND					1					
	OH.TELL|me|I|yet|HAVE|a|FRIEND			1					1		
Though a friend I am never to see.	though.a|FRIEND|i.am|NEV|er.to|SEE	2		3							
	THOUGH|a|FRIEND|i.am|NEV|er.to|SEE			2			1	1			
	though|A|friend|I|am|NEV|er.to|SEE			1		1	1	1			
	though|A|friend|I|am|NEV|er|TO|see					2		2			
	THOUGH|a|FRIEND.I|am|NEV|er|TO|see			1		1		2	1		
	though|A|friend|I|am|NEV|er|TO.SEE			1		1		2	1		
	THOUGH|a|FRIEND|i|AM|nev|ER|to|SEE		1			1		3			1
	THOUGH|a|FRIEND.I|am|NEV|er|TO.SEE			2				2	2		
How fleet is a glance of the mind!	how|FLEET|is.a|GLANCE|of.the|MIND	2		2			1				
	how|FLEET|is|A|glance|OF|the|MIND					1		2			
	how|FLEET|is.a|GLANCE|of|THE|mind			1		1	1	1			
Compared with the speed of its flight,	com|PARED|with.the|SPEED|of.its|FLIGHT	2		2			1				
	com|PARED|with|THE|speed|OF|its|FLIGHT					1		2			
	com|PARED|with.the|SPEED|of|ITS|flight			1		1	1	1			
The tempest itself lags behind,	the|TEM|pest.it|SELF|lags.be|HIND [*Bounded]	2		2		1	1				
	the|TEM|pest.it|SELF.LAGS|be|HIND			2			1				
	the|TEM|pest|IT|self|LAGS|be|HIND		1			1		1			1
And the swift winged arrows of light.	and.the|SWIFT|winged|AR|rows.of|LIGHT			2		1	1				
	AND|the|SWIFT|winged|AR|rows.of|LIGHT			1		1	1	1			
	AND|the|SWIFT|winged|AR|rows|OF|light					2		2			
	and.the|SWIFT|winged|AR|rows|OF|light			1		2	1	1			
	AND|the|SWIFT|winged|AR|rows|OF.LIGHT			1		1		2	1		
When I think of my own native land,	when.i|THINK|of.my|OWN|na.tive|LAND	2	1	3		1					
	WHEN|i|THINK|of|MY|own|NA|tive|LAND							1			
	WHEN|i|THINK|of.my|OWN.NA|tive|LAND			2			1				
	when.i|THINK|of.my|OWN.NA|tive.land			4		1				1	
In a moment I seem to be there;	in.a|MO|ment.i|SEEM|to.be|THERE	2		3				1			
	IN|a|MO|ment.i|SEEM|to|BE|there			1			1				
	IN|a|MO|ment|I.SEEM|to|BE|there			1					1		
	IN|a|MO|ment|I|seem|TO|be|THERE					1		2			
But alas! recollection at hand	but.al|AS.REC|ol|LEC|tion.at|HAND			3			1				
	but.al|AS.REC|ol|LEC|tion|AT|hand			2		1	1				
	BUT|al|AS.REC|ol|LEC|tion|AT|hand			1		1		1	1		
	but|AL|as|REC|ol|LEC|tion|AT|hand		1			2		1			1
	BUT|al|AS.REC|ol|LEC|tion.at|HAND			2			1	1	1		
	BUT|al|AS.REC|ol|LEC|tion|AT.HAND			2				1	2		
	BUT|al|AS|rec.ol|LEC|tion|AT|hand		1	1		2	1	1			
	BUT|al.as|REC|ol|LEC|tion|AT|hand		1	1		2	1	1			
	but|AL|as|REC|ol|LEC|tion.at|HAND		1	1		1	1	1			1
	but|AL|as|REC|ol|LEC|tion|AT.HAND		1	1		1		1	1		1
	but.al|AS.REC|ol.lec|TION|at.hand		1	4		3		1		1	1
Soon hurries me back to despair.	soon|HUR|ries.me|BACK|to.de|SPAIR	2		2		1	1				
	soon|HUR|ries|ME|back|TO|de|SPAIR					2		2			
	SOON.HUR|ries.me|BACK|to.de|SPAIR			3					1		
	SOON.HUR|ries|ME|back|TO|de|SPAIR			1		1		2	1		
	SOON|hur|RIES|me|BACK|to.de|SPAIR		1	1		1	1	1			1
	soon|HUR|ries.me|BACK|to|DE|spair		1	1		2	1	1			1
	SOON.HUR|ries.me|BACK|to|DE|spair		1	2		1	1	1	1		1
But the sea-fowl is gone to her nest,	but.the|SEA.FOWL|is|GONE|to.her|NEST			3			1				
	but|THE|sea|FOWL|is|GONE|to.her|NEST			1		1	1	1			
	but|THE|sea|FOWL|is|GONE|to|HER|nest					2		2			
	but.the|SEA.FOWL|is|GONE|to|HER|nest			2		1	1	1			
	BUT|the|SEA.FOWL|is|GONE|to.her|NEST			2			1	1	1		
	BUT|the|SEA.FOWL|is|GONE|to|HER|nest			1		1		2	1		
	but|THE|sea|FOWL|is|GONE|to|HER.NEST			1		1		2	1		
	but|THE|sea|FOWL|is|GONE.TO|her|NEST			1		1		2	1		
	BUT|the|SEA.FOWL|is|GONE|to|HER.NEST			2				2	2		
	BUT|the|SEA.FOWL|is|GONE.TO|her|NEST			2				2	2		
	but.the|SEA.FOWL|is.gone|TO|her.nest			4		2		1		1	
The beast is laid down in his lair,	the|BEAST|is.laid|DOWN|in.his|LAIR [*Bounded]	2		2		1	1	1			
	the|BEAST|is|LAID|down|IN|his|LAIR										
Even here is a season of rest,	EV|en|HERE|is.a|SEA|son.of|REST			2			1				
	EV|en|HERE|is.a|SEA|son|OF|rest			1		1	1	1			
	EV|en|HERE|is|A|sea|SON|of|REST		1			1		2			1
And I to my cabin repair.	and|I|to.my|CAB|in.re|PAIR	2		2			1				
	AND|i|TO|my|CAB|in.re|PAIR			1			1	2			
	and|I|to|MY|cab|IN|re|PAIR		1			1		2			1
	and|I|to.my|CAB|in|RE|pair		1	1		1	1	1			1
	AND|i|TO|my|CAB|in|RE.PAIR			1				3	1		1
	AND|i|TO|my|CAB.IN|re|PAIR			1				3	1		1
There is mercy in every place,	there.is|MER|cy.in|EV|er.y|PLACE	2		3							
	there.is|MER|cy.in|EV|ery|PLACE			2			1				
	THERE|is|MER|cy.in|EV|ery|PLACE			1			1	1			
	THERE|is|MER|cy|IN.EV|ery|PLACE			1				1	1		
	there|IS|mer|CY|in|EV|ery|PLACE		1			1		2			1
	THERE|is|MER|cy|IN|ev|ER|y|PLACE		1			1		2			1
And mercy, encouraging thought!	and|MER|cy.en|COUR|ag.ing|THOUGHT	2		2			1				
	and|MER|cy.en|COUR|ag|ING|thought			1		1	1	1			
	and|MER|cy|EN|cour|AG|ing|THOUGHT		1			1		2			2
	AND|mer|CY|en|COUR|ag.ing|THOUGHT		1	1		1	1	2			1
	AND|mer|CY|en|COUR|ag|ING|thought		1			2		3			1
	AND|mer|CY|en|COUR|ag|ING.THOUGHT		1	1		1		3	1		1
Gives even affliction a grace,	gives|EV|en.af|FLIC|tion.a|GRACE	2		2		1	1				
	GIVES.EV|en.af|FLIC|tion.a|GRACE			3					1		
	gives|EV|en.af|FLIC|tion|A|grace			1		2	1	1			
	GIVES|ev|EN|af|FLIC|tion.a|GRACE		1	1		1	1	1			1
	GIVES|ev|EN|af|FLIC|tion|A|grace		1			2		2			1
	GIVES.EV|en.af|FLIC|tion|A|grace			2		1	1	1	1		
	GIVES|ev|EN|af|FLIC|tion|A.GRACE		1	1		1		2	1		1
And reconciles man to his lot.	and|REC|on.ciles|MAN|to.his|LOT	2	1	2		1	1				
	and|REC|on|CILES|man|TO|his|LOT					1		1			
	and|REC|on|CILES.MAN|to.his|LOT			2			1		1		
	and|REC|on|CILES.MAN|to|HIS.LOT			2				1	2		
Just for a handful of silver he left us,	JUST|for.a|HAND|ful.of|SIL|ver.he|LEFT|us	2		3		1	1				
	JUST|for.a|HAND|ful.of|SIL|ver.he|LEFT.US			4		1		1			
	JUST|for.a|HAND.FUL|of|SIL|ver.he|LEFT|us			3			2				1
	just|FOR|a|HAND|ful.of|SIL|ver.he|LEFT|us			2		1	2	1			
	JUST|for.a|HAND.FUL|of|SIL|ver|HE|left|US			2		1	1	1			1
	just|FOR|a|HAND|ful.of|SIL|ver|HE|left|US			1		2	1	2			
	JUST|for|A|hand|FUL|of|SIL|ver.he|LEFT|us		1	1		1	1	1			1
	JUST|for|A|hand|FUL|of|SIL|ver|HE|left|US		1			2		2			1
	JUST|for.a|HAND.FUL|of|SIL|ver|HE.LEFT|us			3			1		1		1
	just|FOR|a|HAND|ful.of|SIL|ver|HE.LEFT|us			2		1	1	1	1		
	just|FOR|a|HAND.FUL|of|SIL|ver.he|LEFT|us			2			1	1	1		1
	just|FOR|a|HAND.FUL|of|SIL|ver|HE|left|US			1		1		2	1		1
	JUST|for|A|hand|FUL|of|SIL|ver|HE.LEFT|us		1	1		1		1	1		1
	just|FOR|a|HAND.FUL|of|SIL|ver|HE.LEFT|us			2				1	2		1
	JUST|for.a|HAND.FUL|of|SIL|ver.he|LEFT.US			4			1	1			1
Just for a riband to stick in his coat	JUST|for.a|RI|band.to|STICK|in.his|COAT	2		3							
	just|FOR|a|RI|band|TO|stick|IN|his|COAT					1		2			
	just|FOR|a|RI|band.to|STICK.IN|his|COAT			2			1	1			
	JUST|for.a|RI|band|TO|stick|IN|his|COAT			1		1	1	1			
Found the one gift of which fortune bereft us,	FOUND|the.one|GIFT|of.which|FOR|tune.ber|EFT|us	2		3			1				
	FOUND|the.one|GIFT|of.which|FOR|tune.ber|EFT.US			4				1			
	FOUND|the|ONE|gift|OF|which|FOR|tune.ber|EFT|us			1		1	1	2			
	found|THE|one|GIFT|of.which|FOR|tune.ber|EFT|us			2		1	2	1			
	FOUND|the.one|GIFT|of|WHICH|for|TUNE|ber|EFT|us		1	1		1	1	1			1
	found|THE|one|GIFT|of|WHICH|for|TUNE|ber|EFT|us		1			2		2			1
	found|THE|one|GIFT|of|WHICH.FOR|tune.ber|EFT|us			2		1	1	1	1		
	FOUND|the|ONE|gift|OF|which|FOR|tune|BER.EFT|us			1		1		3	1		1
	found|THE|one|GIFT|of|WHICH.FOR|tune|BER.EFT|us			2		1		2	2		1
Lost all the others she lets us devote;	LOST|all.the|OTH|ers.she|LETS|us.de|VOTE	2		3							
	lost|ALL|the|OTH|ers|SHE|lets|US|de|VOTE					2		1			
	LOST|all.the|OTH|ers|SHE|lets|US|de|VOTE			1		1	1	1			
	LOST.ALL|the|OTH|ers|SHE|lets|US|de|VOTE			1		1		1	1		
	lost|ALL|the|OTH|ers.she|LETS|us.de|VOTE			2		1	2				
	lost|ALL|the|OTH|ers|SHE.LETS|us.de|VOTE			2		1	1		1		
	lost|ALL|the|OTH|ers|SHE.LETS|us|DE.VOTE			2		1		1	2		1
They, with the gold to give, doled him out silver,	THEY|with.the|GOLD|to.give|DOLED|him.out|SIL|ver	2		3		1	1				
	they|WITH|the|GOLD|to|GIVE|doled|HIM|out|SIL|ver					1		2			
	THEY|with.the|GOLD|to|GIVE|doled|HIM|out|SIL|ver			1		1	1	1			
	they|WITH|the|GOLD|to|GIVE.DOLED|him.out|SIL|ver			2			1	1	1		
	THEY|with.the|GOLD|to|GIVE.DOLED|him.out|SIL|ver			3			2		1		
	they|WITH|the|GOLD|to|GIVE.DOLED|him|OUT.SIL|ver			2				2	2		
	they|WITH|the|GOLD|to.give|DOLED|him.out|SIL|ver			2		2	2	1			
	THEY|with.the|GOLD|to.give|DOLED|him.out|SIL.VER			4		1		1			1
So much was theirs who so little allowed:	so|MUCH|was.theirs|WHO|so|LIT|tle.al|LOWED			2			2				
	SO|much|WAS|theirs|WHO|so|LIT|tle.al|LOWED			1			1	2			
	so|MUCH|was.theirs|WHO|so|LIT|tle|AL|lowed		1	1		1	1	1			1
	so|MUCH|was|THEIRS|who|SO|lit|TLE|al|LOWED		1			1		3			1
	SO|much|WAS|theirs|WHO|so|LIT|tle|AL|lowed		1			1		3			1
	so|MUCH|was.theirs|WHO|so|LIT|tle|AL.LOWED			2			1	1	1		1
	so|MUCH|was.theirs|WHO|so|LIT.TLE|al|LOWED			2			1	1	1		1
	SO|much|WAS|theirs|WHO|so|LIT|tle|AL.LOWED			1				3	1		1
	SO|much|WAS|theirs|WHO|so|LIT.TLE|al|LOWED			1				3	1		1
How all our copper had gone for his service!	how|ALL|our|COP|per|HAD|gone|FOR|his|SER|vice					1		1			
	how|ALL|our|COP|per.had|GONE|for.his|SER|vice			2			2				
	how|ALL|our|COP|per|HAD.GONE|for.his|SER|vice			2			1		1		
	how|ALL|our|COP|per|HAD.GONE|for|HIS.SER|vice			2				1	2		
Rags were they purple, his heart had been proud!	RAGS|were.they|PUR|ple.his|HEART|had.been|PROUD	2		3							
	RAGS|were.they|PUR|ple|HIS|heart|HAD|been|PROUD			1		1	1	1			
	rags|WERE|they|PUR|ple|HIS|heart|HAD|been|PROUD					2		2			
	RAGS|were|THEY.PUR|ple|HIS|heart|HAD|been|PROUD			1		1		1	1		
