			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
	NEV|er|HEAR|the|SWEET|mu*|SIC*|of|SPEECH		1			1	1
	NEV.ER*|hear*|THE*|sweet*|MU|sic.of*|SPEECH				1	2	2
	NEV.ER*|hear*|THE*|sweet*|MU|sic|OF*|speech*					3	3
	NEV.ER*|hear*|THE*|sweet*|MU.SIC*|of|SPEECH			1		3	2
I start at the sound of my own.	i|START|at.the|SOUND|of.my|OWN	2					
The beasts that roam over the plain	the|BEASTS|that.roam*|OV|er.the*|PLAIN [*Bounded]	2			2		1
	the|BEASTS|that|ROAM.OV*|er.the*|PLAIN				2		
	the|BEASTS|that|ROAM.OV*|er|THE*|plain*				1	1	1
	the|BEASTS|that|ROAM|ov*|ER*|the|PLAIN		1			1	1
	THE*|beasts*|THAT|roam*|OV|er|THE*|plain*					2	3
	THE*|beasts*|THAT|roam*|OV.ER*|the|PLAIN			1		2	2
My form with indifference see,	my|FORM|with.in*|DIF|fer.ence*|SEE [*Bounded]	2		1	1		
	my|FORM|with.ind*|IFF|erence|SEE				1		
	my|FORM|with|IND.IFF*|erence|SEE			1		1	
	MY*|form*|WITH*|ind|IFF|erence|SEE					2	1
	my|FORM|with|IND*|iff.erence*|SEE		1			1	1
They are so unacquainted with man,	THEY|are.so|UNACQUAINTED|with|MAN						
Their tameness is shocking to me.	their|TAMENESS|is|SHOCK|ing|TO*|me					1	
	their|TAMENESS|is|SHOCK.ING*|to.me					1	
Society, friendship, and love,	so|CI|et.y*|FRIEND|ship.and*|LOVE	1		1	1		
	so|CI|et.y*|FRIEND|ship|AND*|love*			1		1	1
	so|CI|et|Y.FRIEND*|ship.and*|LOVE				2	1	
	so|CI|et.y*|FRIEND.SHIP*|and|LOVE			2		1	
	so|CI|et|Y.FRIEND*|ship|AND*|love*				1	2	1
	so|CI|et|Y*|friend*|SHIP*|and|LOVE		1			2	1
Divinely bestow'd upon man,	di|VINE|ly.be*|STOW'D|up.on*|MAN [*Bounded]	2	1	1	1		1
	di|VINE|ly.be*|STOW'D|up|ON|man*				1		1
	di|VINE|ly.be*|STOW'D|up|ON.MAN*				2		
	di|VINE|ly|BE.STOW'D*|up|ON|man*			1		1	1
	di|VINE.LY*|be|STOW'D|up|ON|man*			1		1	1
	di|VINE|ly|BE.STOW'D*|up|ON.MAN*			1	1	1	
	di|VINE.LY*|be|STOW'D|up|ON.MAN*			1	1	1	
	DI*|vine*|LY*|be|STOW'D|up|ON|man*		1			2	2
	DI*|vine*|LY*|be|STOW'D|up|ON.MAN*		1		1	2	1
Oh had I the wings of a dove,	oh*|HAD|i.the|WINGS|of.a|DOVE [*Bounded]	2					1
	OH|had|I|the|WINGS|of.a|DOVE						
How soon would I taste you again!	how|SOON|would.i|TASTE|you.ag*|AIN	2			1		
	how|SOON|would|I|taste*|YOU*|ag|AIN					1	1
	how|SOON|would.i|TASTE|you|AG.AIN*			1		1	
My sorrows I then might assuage	my|SOR|rows.i*|THEN|might.as*|SUAGE [*Bounded]	2			2		
	my|SOR|rows|I|then|MIGHT|as|SUAGE						
In the ways of religion and truth,	in.the|WAYS|of.re*|LI|gion.and*|TRUTH	2			2		
	IN|the|WAYS|of.re*|LI.GION*|and|TRUTH				1	1	
	in.the|WAYS|of.re*|LI.GION*|and|TRUTH				1	1	
	IN|the|WAYS|of.re*|LI|gion.and*|TRUTH				2		
	in|THE*|ways*|OF*|re|LI.GION*|and|TRUTH					3	1
	IN|the|WAYS|of|RE.LI*|gion|AND*|truth*			1		2	1
	in.the|WAYS|of|RE.LI*|gion|AND*|truth*			1		2	1
	IN|the|WAYS|of|RE*|li*|GION*|and|TRUTH		1			2	1
	in.the|WAYS|of|RE*|li*|GION*|and|TRUTH		1			2	1
Might learn from the wisdom of age,	might|LEARN|from.the|WIS|dom.of*|AGE	2			1		
	might|LEARN|from.the|WIS|dom|OF*|age*					1	1
	might|LEARN|from.the|WIS.DOM*|of|AGE			1		1	
And be cheer'd by the sallies of youth.	and.be|CHEER'D|by.the|SAL|lies.of*|YOUTH	2			1		
	and.be|CHEER'D|by.the|SAL.LIES*|of|YOUTH					1	
Religion! what treasure untold	re|LI|gion.what*|TREA|sure.un*|TOLD	2			2		
	re|LI.GION*|what|TREA.SURE*|un|TOLD					2	
	re|LI|gion.what*|TREA.SURE*|un|TOLD				1	1	
	re|LI.GION*|what|TREA|sure.un*|TOLD				1	1	
	re|LI|gion|WHAT.TREA*|sure.un*|TOLD				2		
	re|LI|gion|WHAT|trea*|SURE*|un|TOLD		1			1	1
Resides in that heavenly word!	re|SIDES|in.that|HEAV|en.ly*|WORD [*Bounded]	2		1			
	re|SIDES|in.that|HEA|venly|WORD						
More precious than silver and gold,	more|PRE|cious.than*|SIL|ver.and*|GOLD	2			2		
	more|PRE.CIOUS*|than|SIL|ver.and*|GOLD				1	1	
	more|PRE.CIOUS*|than|SIL|ver|AND*|gold*					2	1
	more|PRE|cious.than*|SIL|ver|AND*|gold*				1	1	1
	more|PRE.CIOUS*|than|SIL.VER*|and|GOLD			1		2	
	more|PRE|cious.than*|SIL.VER*|and|GOLD			1	1	1	
Or all that this earth can afford.	or|ALL|that.this|EARTH|can.af*|FORD	2			1		
	or.all|THAT|this|EARTH|can.af*|FORD				1		
	or|ALL|that.this|EARTH|can|AF.FORD*			1		1	
	or.all|THAT|this|EARTH|can|AF.FORD*			1		1	
	or|ALL|that|THIS*|earth*|CAN*|af|FORD					2	1
	or|ALL|that.this|EARTH|can|AF*|ford*		1			1	1
	or.all|THAT|this|EARTH|can|AF*|ford*		1			1	1
But the sound of the church-going bell	but.the|SOUND|of.the|CHURCH|go.ing*|BELL	2	1	1			1
	but.the|SOUND|of.the|CHURCH.GO*|ing|BELL				1		
	but.the|SOUND|of|THE*|church*|GO|ing|BELL					1	1
These valleys and rocks never heard,	these|VAL|leys.and*|ROCKS|nev.er*|HEARD	2	1		1		1
	these|VAL|leys|AND*|rocks*|NEV|er|HEARD					1	1
	these|VAL.LEYS*|and|ROCKS.NEV*|er|HEARD				1	1	
	these|VAL|leys.and*|ROCKS.NEV*|er|HEARD				2		
Ne'er sigh'd at the sound of a knell,	ne'er*|SIGH'D|at.the|SOUND|of.a|KNELL	2					1
	NE'ER|sigh'd*|AT|the|SOUND|of.a|KNELL						1
	NE'ER.SIGH'D*|at.the|SOUND|of.a|KNELL				1		
Or smiled when a sabbath appear'd.	or|SMILED|when.a|SAB|bath.ap*|PEAR'D	2			1		
	or|SMILED|when.a|SAB.BATH*|ap|PEAR'D					1	
Ye winds that have made me your sport,	ye|WINDS|that.have|MADE|me.your|SPORT	2					
Convey to this desolate shore	con|VEY|to.this|DES|o.late*|SHORE	2		1			
	con|VEY|to.this|DES|o|LATE|shore*						1
	con|VEY|to.this|DES.O*|late|SHORE					1	
	con|VEY|to.this|DES|o|LATE.SHORE*				1		
Some cordial endearing report	some|COR|dial.en*|DEAR|ing.re*|PORT	2			2		
	some|COR|dial|EN.DEAR*|ing.re*|PORT			1	1	1	
	some|COR|dial.en*|DEAR|ing|RE.PORT*			1	1	1	
	some|COR|dial.en*|DEAR.ING*|re|PORT			1	1	1	
	some|COR.DIAL*|en|DEAR|ing.re*|PORT			1	1	1	
	some|COR|dial|EN.DEAR*|ing|RE.PORT*			2		2	
	some|COR.DIAL*|en|DEAR|ing|RE.PORT*			2		2	
	some|COR.DIAL*|en|DEAR.ING*|re|PORT			2		2	
	some|COR|dial|EN*|dear*|ING*|re|PORT		1			2	1
	SOME|cor*|DIAL*|en|DEAR|ing.re*|PORT		1		1	1	1
	some|COR|dial.en*|DEAR|ing|RE*|port*		1		1	1	1
Of a land I shall visit no more!	of.a|LAND|i.shall|VIS|it.no*|MORE [*Bounded]	2			1		1
	of.a|LAND|i.shall|VIS|it|NO|more						
My friends, do they now and then send	my|FRIENDS|do.they|NOW|and.then|SEND	2					
A wish or a thought after me?	a|WISH|or.a|THOUGHT|af.ter*|ME* [*Bounded]	2	1	1		1	1
	a|WISH|or.a|THOUGHT.AF*|ter|ME*				1	1	
	a|WISH|or.a|THOUGHT.AF*|ter.me*				2		
	a|WISH|or|A*|thought*|AF|ter|ME*					2	1
	a|WISH|or|A*|thought*|AF|ter.me*				1	1	1
	a|WISH|or.a|THOUGHT|af*|TER*|me		1			1	1
Oh tell me I yet have a friend,	oh*|TELL|me.i|YET|have.a|FRIEND	2					1
	oh*|TELL|me|I|yet|HAVE|a|FRIEND						1
	OH.TELL*|me|I|yet|HAVE|a|FRIEND				1		
	OH.TELL*|me.i|YET|have.a|FRIEND				1		
Though a friend I am never to see.	though.a|FRIEND|i.am|NEV|er.to*|SEE	2			1		
	though.a|FRIEND|i.am|NEV.ER*|to|SEE					1	
How fleet is a glance of the mind!	how|FLEET|is.a|GLANCE|of.the|MIND	2					
Compared with the speed of its flight,	com|PARED|with.the|SPEED|of.its|FLIGHT	2					
The tempest itself lags behind,	the|TEM|pest.it*|SELF|lags.be*|HIND [*Bounded]	2			2		1
	the|TEM|pest.it*|SELF.LAGS*|be|HIND				2		
	the|TEM.PEST*|it|SELF.LAGS*|be|HIND			1	1	1	
	the|TEM|pest|IT*|self*|LAGS|be|HIND		1			1	1
	the|TEM|pest.it*|SELF|lags*|BE.HIND*			1	1	1	1
	the|TEM|pest|IT.SELF*|lags*|BE.HIND*			2		2	1
	the|TEM.PEST*|it|SELF|lags*|BE.HIND*			2		2	1
And the swift winged arrows of light.	and.the|SWIFT|winged*|AR.ROWS*|of|LIGHT					1	1
	and.the|SWIFT|winged*|AR|rows.of*|LIGHT				1		1
When I think of my own native land,	when.i|THINK|of.my|OWN|na.tive*|LAND	2	1	1			1
	WHEN|i|THINK|of|MY*|own|NA|tive|LAND					1	
	when.i|THINK|of|MY*|own|NA|tive|LAND					1	
	WHEN|i|THINK|of.my|OWN.NA*|tive|LAND				1		
	when.i|THINK|of.my|OWN.NA*|tive|LAND				1		
	WHEN|i|THINK|of.my|OWN|na.tive*|LAND		1	1			1
In a moment I seem to be there;	in.a|MO|ment.i*|SEEM|to.be|THERE* [*Bounded]	2			1	1	
	IN|a|MO|ment|I.SEEM*|to|BE|there				1		
	IN|a|MO|ment.i*|SEEM|to|BE|there				1		
	in.a|MO|ment|I.SEEM*|to|BE|there				1		
	in.a|MO|ment.i*|SEEM|to|BE|there				1		
	IN|a|MO|ment|I|seem*|TO*|be.there					1	1
	in.a|MO|ment|I|seem*|TO*|be.there					1	1
	IN|a|MO.MENT*|i|SEEM|to|BE|there			1		1	
	in.a|MO.MENT*|i|SEEM|to|BE|there			1		1	
But alas! recollection at hand	but.al*|AS|rec.ol*|LEC|tion.at*|HAND [*Bounded]	2	1		2		1
	BUT*|al|AS.REC*|ol|LEC|tion|AT|hand*				1	1	1
	BUT*|al|AS.REC*|ol|LEC|tion|AT.HAND*				2	1	
	but.al*|AS.REC*|ol|LEC|tion|AT|hand*				2		1
	BUT*|al|AS.REC*|ol|LEC|tion.at*|HAND				2	1	
	but.al*|AS.REC*|ol|LEC|tion|AT.HAND*				3		
	but.al*|AS.REC*|ol|LEC|tion.at*|HAND				3		
	BUT*|al|AS.REC*|ol|LEC.TION*|at|HAND			1	1	2	
	but|AL*|as*|REC|ol|LEC|tion|AT|hand*		1			1	2
	BUT*|al|AS|rec.ol*|LEC|tion|AT|hand*		1			1	2
	but|AL*|as*|REC|ol|LEC|tion|AT.HAND*		1		1	1	1
	BUT*|al|AS|rec.ol*|LEC|tion|AT.HAND*		1		1	1	1
	but.al*|AS|rec.ol*|LEC|tion|AT|hand*		1		1		2
	but.al*|AS|rec.ol*|LEC|tion|AT.HAND*		1		2		1
	but|AL*|as*|REC|ol|LEC.TION*|at|HAND		1	1		2	1
	BUT*|al|AS|rec.ol*|LEC.TION*|at|HAND		1	1		2	1
Soon hurries me back to despair.	soon*|HUR|ries.me*|BACK|to.de*|SPAIR	2			2		1
	SOON.HUR*|ries.me*|BACK|to.de*|SPAIR				3		
	soon*|HUR|ries|ME*|back*|TO*|de|SPAIR					2	2
	SOON.HUR*|ries|ME*|back*|TO*|de|SPAIR				1	2	1
	soon*|HUR|ries.me*|BACK|to|DE.SPAIR*			1	1	1	1
	soon*|HUR.RIES*|me|BACK|to.de*|SPAIR			1	1	1	1
	SOON.HUR*|ries.me*|BACK|to|DE.SPAIR*			1	2	1	
	SOON|hur*|RIES*|me|BACK|to.de*|SPAIR		1		1	1	1
	soon*|HUR.RIES*|me|BACK|to|DE.SPAIR*			2		2	1
	SOON|hur*|RIES*|me|BACK|to|DE.SPAIR*		1	1		2	1
	soon*|HUR|ries.me*|BACK|to|DE*|spair*		1		1	1	2
	SOON.HUR*|ries.me*|BACK|to|DE*|spair*		1		2	1	1
But the sea-fowl is gone to her nest,	but.the|SEA|fowl.is*|GONE|to.her|NEST [*Bounded]	2			1		1
	but.the|SEA.FOWL*|is|GONE|to.her|NEST				1		
	but|THE*|sea*|FOWL|is|GONE|to.her|NEST					1	1
The beast is laid down in his lair,	the|BEAST|is.laid*|DOWN*|in.his|LAIR [*Bounded]	2			1	1	1
	the|BEAST|is|LAID|down|IN|his|LAIR						
Even here is a season of rest,	EV|en|HERE|is.a|SEA|son.of*|REST				1		
	EV|en|HERE|is.a|SEA|son|OF*|rest*					1	1
	EV|en|HERE|is.a|SEA.SON*|of|REST			1		1	
And I to my cabin repair.	and|I|to.my|CAB|in.re*|PAIR	2			1		
	and|I|to.my|CAB.IN*|re|PAIR					1	
There is mercy in every place,	there.is|MER|cy.in*|EV|er.y*|PLACE [*Bounded]	2		1	1		
	there.is|MER|cy.in*|EV|ery|PLACE				1		
	there.is|MER|cy|IN.EV*|ery|PLACE				1		
	there.is|MER.CY*|in|EV|ery|PLACE			1		1	
	there|IS|mer*|CY*|in|EV|ery|PLACE		1			1	1
	there.is|MER|cy|IN|ev*|ER*|y|PLACE		1			1	1
	there.is|MER|cy|IN|ev.ery*|PLACE		1	1			1
And mercy, encouraging thought!	and|MER|cy.en*|COUR|ag.ing*|THOUGHT	2		1	1		
	and|MER|cy.en*|COUR|ag|ING*|thought*				1	1	1
	and|MER|cy|EN.COUR*|ag.ing*|THOUGHT			2		1	
	and|MER|cy.en*|COUR|ag|ING.THOUGHT*				2	1	
	and|MER.CY*|en|COUR|ag.ing*|THOUGHT			2		1	
	and|MER|cy|EN.COUR*|ag|ING*|thought*			1		2	1
	and|MER.CY*|en|COUR|ag|ING*|thought*			1		2	1
	and|MER.CY*|en|COUR|ag|ING.THOUGHT*			1	1	2	
	and|MER|cy|EN*|cour*|AG*|ing|THOUGHT		1			2	1
Gives even affliction a grace,	gives*|EV|en.af*|FLIC|tion.a*|GRACE	2			2		1
	GIVES.EV*|en.af*|FLIC|tion.a*|GRACE				3		
	gives*|EV|en.af*|FLIC|tion|A*|grace*				1	1	2
	GIVES.EV*|en.af*|FLIC|tion|A*|grace*				2	1	1
	gives*|EV|en|AF.FLIC*|tion.a*|GRACE			1	1	1	1
	gives*|EV|en.af*|FLIC.TION*|a|GRACE			1	1	1	1
	gives*|EV.EN*|af|FLIC|tion.a*|GRACE			1	1	1	1
	GIVES.EV*|en|AF.FLIC*|tion.a*|GRACE			1	2	1	
	GIVES.EV*|en.af*|FLIC.TION*|a|GRACE			1	2	1	
	GIVES|ev*|EN*|af|FLIC|tion.a*|GRACE		1		1	1	1
	gives*|EV|en|AF.FLIC*|tion|A*|grace*			1		2	2
	gives*|EV.EN*|af|FLIC|tion|A*|grace*			1		2	2
	GIVES.EV*|en|AF.FLIC*|tion|A*|grace*			1	1	2	1
	gives*|EV.EN*|af|FLIC.TION*|a|GRACE			2		2	1
	GIVES|ev*|EN*|af|FLIC|tion|A*|grace*		1			2	2
	gives*|EV|en|AF*|flic*|TION*|a|GRACE		1			2	2
	GIVES|ev*|EN*|af|FLIC.TION*|a|GRACE		1	1		2	1
And reconciles man to his lot.	and|REC|on.ciles*|MAN|to.his|LOT	2	1	1			1
	and|REC|on|CILES.MAN*|to.his|LOT				1		
	and|REC|on|CILES|man*|TO*|his|LOT					1	1
Just for a handful of silver he left us,	JUST|for.a|HAND|ful.of*|SIL|ver.he*|LEFT|us	2			2		1
	JUST|for.a|HAND.FUL*|of|SIL|ver|HE.LEFT*|us			1	1		
	JUST|for.a|HAND.FUL*|of|SIL|ver.he*|LEFT|us			1	1		
	JUST|for.a|HAND.FUL*|of|SIL|ver|HE|left*|US*			1		1	1
	JUST|for.a|HAND|ful.of*|SIL|ver|HE.LEFT*|us				2		1
	JUST|for.a|HAND.FUL*|of|SIL.VER*|he|LEFT|us			2		1	
	JUST|for.a|HAND|ful.of*|SIL|ver|HE|left*|US*				1	1	2
	JUST|for|A*|hand*|FUL|of|SIL|ver|HE.LEFT*|us		1		1	1	1
	JUST|for|A*|hand*|FUL|of|SIL|ver.he*|LEFT|us		1		1	1	1
	JUST|for|A*|hand*|FUL|of|SIL|ver|HE|left*|US*		1			2	2
	JUST|for.a|HAND|ful*|OF*|sil*|VER*|he|LEFT|us		1			2	2
Just for a riband to stick in his coat	JUST|for.a|RIBAND|to|STICK|in.his|COAT						
Found the one gift of which fortune bereft us,	FOUND|the.one|GIFT|of.which|FOR|tune.ber*|EFT|us	2			1		
	FOUND|the.one|GIFT|of.which|FOR|tune|BER.EFT*|us			1		1	
	FOUND|the.one|GIFT|of.which|FOR.TUNE*|ber|EFT|us			1		1	
	FOUND|the.one|GIFT|of|WHICH|for*|TUNE*|ber|EFT|us		1			1	1
Lost all the others she lets us devote;	LOST|all.the|OTH|ers.she*|LETS|us.de*|VOTE	2			2		
	LOST|all.the|OTH|ers|SHE|lets*|US*|de|VOTE					1	1
	LOST|all.the|OTH.ERS*|she|LETS|us.de*|VOTE				1	1	
	LOST|all.the|OTH|ers|SHE.LETS*|us.de*|VOTE				2		
	LOST|all.the|OTH.ERS*|she|LETS|us|DE.VOTE*			1		2	
	LOST|all.the|OTH|ers.she*|LETS|us|DE.VOTE*			1	1	1	
They, with the gold to give, doled him out silver,	THEY|with.the|GOLD|to|GIVE.DOLED*|him.out|SIL|ver				1		
	THEY|with.the|GOLD|to|GIVE|doled*|HIM*|out|SIL|ver					1	1
So much was theirs who so little allowed:	SO*|much.was|THEIRS*|who.so|LIT|tle.al*|LOWED [*Bounded]	2			1	2	
	so|MUCH|was.theirs|WHO|so|LIT.TLE*|al|LOWED					1	
	so|MUCH|was.theirs|WHO|so|LIT|tle.al*|LOWED				1		
How all our copper had gone for his service!	HOW*|all.our|COP|per.had*|GONE|for.his|SER|vice [*Bounded]	2			1	1	
	how|ALL|our|COP.PER*|had|GONE|for.his|SER|vice					1	
	how|ALL|our|COP|per|HAD.GONE*|for.his|SER|vice				1		
	how|ALL|our|COP|per.had*|GONE|for.his|SER|vice				1		
Rags were they purple, his heart had been proud!	RAGS|were.they|PUR|ple.his*|HEART|had.been|PROUD	2			1		
	RAGS|were.they|PUR|ple|HIS*|heart*|HAD|been|PROUD					1	1
	RAGS|were.they|PUR.PLE*|his|HEART|had.been|PROUD			1		1	
We that had loved him so, followed him, honoured him,	WE|that.had|LOVED|him.so|FOL|lowed.him*|HON|oured.him*	2			2		
	we|THAT|had|LOVED|him.so|FOL.LOWED*|him|HON|oured|HIM*					2	
	WE|that.had|LOVED|him.so|FOL.LOWED*|him|HON|oured|HIM*					2	
	we|THAT|had|LOVED|him.so|FOL.LOWED*|him|HON.OURED*|him					2	
	WE|that.had|LOVED|him.so|FOL.LOWED*|him|HON.OURED*|him					2	
	we|THAT|had|LOVED|him.so|FOL|lowed.him*|HON|oured|HIM*				1	1	
	WE|that.had|LOVED|him.so|FOL|lowed.him*|HON|oured|HIM*				1	1	
	we|THAT|had|LOVED|him.so|FOL|lowed.him*|HON.OURED*|him				1	1	
	we|THAT|had|LOVED|him.so|FOL.LOWED*|him|HON|oured.him*				1	1	
	WE|that.had|LOVED|him.so|FOL|lowed.him*|HON.OURED*|him				1	1	
	WE|that.had|LOVED|him.so|FOL.LOWED*|him|HON|oured.him*				1	1	
	we|THAT|had|LOVED|him.so|FOL|lowed.him*|HON|oured.him*				2		
Lived in his mild and magnificent eye,	LIVED|in.his|MILD|and.mag*|NIF|i.cent*|EYE	2		1	1		
	LIVED|in.his|MILD|and.mag*|NIF.I*|cent|EYE				1	1	
	LIVED|in.his|MILD|and|MAG.NIF*|i.cent*|EYE			2		1	
	LIVED|in|HIS*|mild*|AND*|mag|NIF.I*|cent|EYE					3	1
	LIVED|in|HIS*|mild*|AND*|mag|NIF|i.cent*|EYE			1		2	1
	LIVED|in.his|MILD|and|MAG.NIF*|i|CENT*|eye*			1		2	1
	LIVED|in.his|MILD|and|MAG*|nif*|I*|cent|EYE		1			2	1
Learned his great language, caught his clear accents,	LEARNED|his|GREAT.LAN*|guage|CAUGHT|his|CLEAR.AC*|cents				2		
	LEA|rned|HIS*|great*|LAN|guage|CAUGHT|his|CLEAR.AC*|cents				1	1	1
	LEARNED|his|GREAT|lan.guage*|CAUGHT|his|CLEAR.AC*|cents		1	1	1		1
	LEARNED|his|GREAT.LAN*|guage|CAUGHT|his|CLEAR|ac.cents*		1	1	1		1
	LEA|rned|HIS*|great*|LAN|guage|CAUGHT|his|CLEAR|ac*|CENTS*		1			2	2
	LEA|rned|HIS*|great*|LAN|guage|CAUGHT|his|CLEAR|ac.cents*		1	1		1	2
	LEARNED|his|GREAT|lan.guage*|CAUGHT|his|CLEAR|ac.cents*		2	2			2
	LEA|rned|HIS*|great*|LAN.GUAGE*|caught*|HIS*|clear*|AC|cents			1		3	3
Made him our pattern to live and to die!	MADE|him.our|PAT|tern.to*|LIVE|and.to|DIE	2			1		
	MADE|him.our|PAT.TERN*|to|LIVE|and.to|DIE					1	
Shakespeare was of us, Milton was for us,	SHAKE|speare*|WAS*|of.us|MIL|ton|WAS*|for.us					2	1
	SHAKE.SPEARE*|was|OF*|us|MIL|ton|WAS*|for.us			1		2	
Burns, Shelley, were with us, they watch from their graves!	burns*|SHEL|ley.were*|WITH*|us.they|WATCH|from.their|GRAVES	1			1	1	1
	BURNS.SHEL*|ley.were*|WITH*|us.they|WATCH|from.their|GRAVES	1			2	1	
	burns*|SHEL|ley|WERE*|with|US*|they|WATCH|from.their|GRAVES					2	1
	burns*|SHEL.LEY*|were|WITH*|us.they|WATCH|from.their|GRAVES					2	1
	burns*|SHEL.LEY*|were.with|US*|they|WATCH|from.their|GRAVES					2	1
	BURNS.SHEL*|ley|WERE*|with|US*|they|WATCH|from.their|GRAVES				1	2	
	burns*|SHEL|ley|WERE*|with.us|THEY.WATCH*|from.their|GRAVES				1	1	1
	burns*|SHEL|ley|WERE.WITH*|us.they|WATCH|from.their|GRAVES				1	1	1
	BURNS.SHEL*|ley|WERE*|with.us|THEY.WATCH*|from.their|GRAVES				2	1	
	BURNS.SHEL*|ley|WERE.WITH*|us.they|WATCH|from.their|GRAVES				2	1	
He alone breaks from the van and the freemen,	HE|al.one*|BREAKS|from.the|VAN|and.the|FRE|emen	2	1	1			1
	HE|al|ONE.BREAKS*|from.the|VAN|and.the|FRE|emen				1		
	HE|al|ONE|breaks*|FROM*|the|VAN|and.the|FRE|emen					1	1
He alone sinks to the rear and the slaves!	HE|al.one*|SINKS|to.the|REAR|and.the|SLAVES	2	1	1			1
	HE|al|ONE.SINKS*|to.the|REAR|and.the|SLAVES				1		
	HE|al|ONE|sinks*|TO*|the|REAR|and.the|SLAVES					1	1
We shall march prospering, not thro' his presence;	we|SHALL|march*|PROS|per|ING*|not|THRO|his|PRES|ence					1	1
	we|SHALL|march*|PROS.PERING*|not|THRO|his|PRES|ence					1	1
	WE|shall|MARCH.PROS*|per|ING*|not|THRO|his|PRES|ence				1	1	
	we|SHALL|march*|PROS|pering|NOT.THRO*|his|PRES|ence				1		1
	we|SHALL|march*|PROS|pering.not*|THRO|his|PRES|ence				1		1
	we.shall|MARCH.PROS*|per|ING*|not|THRO|his|PRES|ence				1	1	
	WE|shall|MARCH.PROS*|pering|NOT.THRO*|his|PRES|ence				2		
	WE|shall|MARCH.PROS*|pering.not*|THRO|his|PRES|ence				2		
	we.shall|MARCH.PROS*|pering|NOT.THRO*|his|PRES|ence				2		
	we.shall|MARCH.PROS*|pering.not*|THRO|his|PRES|ence				2		
Songs may inspirit us, not from his lyre;	SONGS|may|INSPIRIT|us|NOT|from.his|LYRE						
